pair_id,pair_label,variant,family,attack_family,attack_layer,attack_strength,prompt_id,donor_prompt_id,donor_source,attack_checkpoint,detected,localization_correct,first_mismatch_checkpoint,output_affecting_available,output_affecting,output_affecting_reason
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,gaussian,statistical_tamper,0.15,eval_001,eval_001,gaussian_noise,C2,1,1,C2,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,same_prompt_old_run_replay,material_tamper,,eval_001,eval_001,same_stack_rerun,C2,0,0,,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,cross_prompt_stale_substitution,material_tamper,,eval_001,eval_200,same_stack_rerun,C2,1,1,C2,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,wrong_shard_output,material_tamper,,eval_001,eval_002,same_run_next_prompt,C2,1,1,C2,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,scale_perturbation,material_tamper,0.15,eval_001,eval_001,scale_delta,C2,1,1,C2,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,layer_skip,material_tamper,,eval_001,eval_001,C1_to_C2,C2,1,1,C2,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,gaussian,statistical_tamper,0.15,eval_002,eval_002,gaussian_noise,C2,1,1,C2,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,same_prompt_old_run_replay,material_tamper,,eval_002,eval_002,same_stack_rerun,C2,0,0,,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,cross_prompt_stale_substitution,material_tamper,,eval_002,eval_001,same_stack_rerun,C2,1,1,C2,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,wrong_shard_output,material_tamper,,eval_002,eval_003,same_run_next_prompt,C2,1,1,C2,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,scale_perturbation,material_tamper,0.15,eval_002,eval_002,scale_delta,C2,0,0,,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,layer_skip,material_tamper,,eval_002,eval_002,C1_to_C2,C2,1,1,C2,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,gaussian,statistical_tamper,0.15,eval_003,eval_003,gaussian_noise,C2,1,1,C2,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,same_prompt_old_run_replay,material_tamper,,eval_003,eval_003,same_stack_rerun,C2,0,0,,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,cross_prompt_stale_substitution,material_tamper,,eval_003,eval_002,same_stack_rerun,C2,1,1,C2,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,wrong_shard_output,material_tamper,,eval_003,eval_004,same_run_next_prompt,C2,0,0,,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,scale_perturbation,material_tamper,0.15,eval_003,eval_003,scale_delta,C2,1,1,C2,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,layer_skip,material_tamper,,eval_003,eval_003,C1_to_C2,C2,0,0,,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,gaussian,statistical_tamper,0.15,eval_004,eval_004,gaussian_noise,C2,1,1,C2,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,same_prompt_old_run_replay,material_tamper,,eval_004,eval_004,same_stack_rerun,C2,0,0,,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,cross_prompt_stale_substitution,material_tamper,,eval_004,eval_003,same_stack_rerun,C2,0,0,,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,wrong_shard_output,material_tamper,,eval_004,eval_005,same_run_next_prompt,C2,0,0,,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,scale_perturbation,material_tamper,0.15,eval_004,eval_004,scale_delta,C2,1,1,C2,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,layer_skip,material_tamper,,eval_004,eval_004,C1_to_C2,C2,0,0,,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,gaussian,statistical_tamper,0.15,eval_005,eval_005,gaussian_noise,C2,1,1,C2,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,same_prompt_old_run_replay,material_tamper,,eval_005,eval_005,same_stack_rerun,C2,0,0,,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,cross_prompt_stale_substitution,material_tamper,,eval_005,eval_004,same_stack_rerun,C2,0,0,,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,wrong_shard_output,material_tamper,,eval_005,eval_006,same_run_next_prompt,C2,1,1,C2,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,scale_perturbation,material_tamper,0.15,eval_005,eval_005,scale_delta,C2,1,1,C2,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,layer_skip,material_tamper,,eval_005,eval_005,C1_to_C2,C2,0,0,,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,gaussian,statistical_tamper,0.15,eval_006,eval_006,gaussian_noise,C2,1,1,C2,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,same_prompt_old_run_replay,material_tamper,,eval_006,eval_006,same_stack_rerun,C2,0,0,,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,cross_prompt_stale_substitution,material_tamper,,eval_006,eval_005,same_stack_rerun,C2,1,1,C2,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,wrong_shard_output,material_tamper,,eval_006,eval_007,same_run_next_prompt,C2,1,1,C2,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,scale_perturbation,material_tamper,0.15,eval_006,eval_006,scale_delta,C2,0,0,,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,layer_skip,material_tamper,,eval_006,eval_006,C1_to_C2,C2,1,1,C2,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,gaussian,statistical_tamper,0.15,eval_007,eval_007,gaussian_noise,C2,1,1,C2,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,same_prompt_old_run_replay,material_tamper,,eval_007,eval_007,same_stack_rerun,C2,0,0,,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,cross_prompt_stale_substitution,material_tamper,,eval_007,eval_006,same_stack_rerun,C2,1,1,C2,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,wrong_shard_output,material_tamper,,eval_007,eval_008,same_run_next_prompt,C2,0,0,,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,scale_perturbation,material_tamper,0.15,eval_007,eval_007,scale_delta,C2,0,0,,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,layer_skip,material_tamper,,eval_007,eval_007,C1_to_C2,C2,0,0,,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,gaussian,statistical_tamper,0.15,eval_008,eval_008,gaussian_noise,C2,1,1,C2,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,same_prompt_old_run_replay,material_tamper,,eval_008,eval_008,same_stack_rerun,C2,0,0,,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,cross_prompt_stale_substitution,material_tamper,,eval_008,eval_007,same_stack_rerun,C2,0,0,,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,wrong_shard_output,material_tamper,,eval_008,eval_009,same_run_next_prompt,C2,0,0,,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,scale_perturbation,material_tamper,0.15,eval_008,eval_008,scale_delta,C2,0,0,,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,layer_skip,material_tamper,,eval_008,eval_008,C1_to_C2,C2,0,0,,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,gaussian,statistical_tamper,0.15,eval_009,eval_009,gaussian_noise,C2,1,1,C2,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,same_prompt_old_run_replay,material_tamper,,eval_009,eval_009,same_stack_rerun,C2,0,0,,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,cross_prompt_stale_substitution,material_tamper,,eval_009,eval_008,same_stack_rerun,C2,0,0,,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,wrong_shard_output,material_tamper,,eval_009,eval_010,same_run_next_prompt,C2,1,1,C2,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,scale_perturbation,material_tamper,0.15,eval_009,eval_009,scale_delta,C2,0,0,,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,layer_skip,material_tamper,,eval_009,eval_009,C1_to_C2,C2,0,0,,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,gaussian,statistical_tamper,0.15,eval_010,eval_010,gaussian_noise,C2,1,1,C2,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,same_prompt_old_run_replay,material_tamper,,eval_010,eval_010,same_stack_rerun,C2,0,0,,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,cross_prompt_stale_substitution,material_tamper,,eval_010,eval_009,same_stack_rerun,C2,1,1,C2,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,wrong_shard_output,material_tamper,,eval_010,eval_011,same_run_next_prompt,C2,1,1,C2,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,scale_perturbation,material_tamper,0.15,eval_010,eval_010,scale_delta,C2,0,0,,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,layer_skip,material_tamper,,eval_010,eval_010,C1_to_C2,C2,0,0,,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,gaussian,statistical_tamper,0.15,eval_011,eval_011,gaussian_noise,C2,1,1,C2,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,same_prompt_old_run_replay,material_tamper,,eval_011,eval_011,same_stack_rerun,C2,0,0,,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,cross_prompt_stale_substitution,material_tamper,,eval_011,eval_010,same_stack_rerun,C2,1,1,C2,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,wrong_shard_output,material_tamper,,eval_011,eval_012,same_run_next_prompt,C2,1,1,C2,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,scale_perturbation,material_tamper,0.15,eval_011,eval_011,scale_delta,C2,1,1,C2,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,layer_skip,material_tamper,,eval_011,eval_011,C1_to_C2,C2,1,1,C2,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,gaussian,statistical_tamper,0.15,eval_012,eval_012,gaussian_noise,C2,1,1,C2,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,same_prompt_old_run_replay,material_tamper,,eval_012,eval_012,same_stack_rerun,C2,0,0,,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,cross_prompt_stale_substitution,material_tamper,,eval_012,eval_011,same_stack_rerun,C2,1,1,C2,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,wrong_shard_output,material_tamper,,eval_012,eval_013,same_run_next_prompt,C2,1,1,C2,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,scale_perturbation,material_tamper,0.15,eval_012,eval_012,scale_delta,C2,0,0,,0,,no_logits_or_output_in_capture
