prompt,boundary,code_path,seed,n_total,n_checked,reconstructed_coords_hash,actual_coords_hash,match,note
p0e2v2_t00_dynamic_programming_p00_explain,C1,P1_acct_scalar16,1,12288,16,7454f44e2bee,7454f44e2bee,TRUE,
p0e2v2_t00_dynamic_programming_p00_explain,C1,P1_acct_projcos4_tokens,1,12,12,700a4498438a,700a4498438a,TRUE,
p0e2v2_t00_dynamic_programming_p00_explain,C1,P2_tstc_scalar,1,12288,16,7454f44e2bee,7454f44e2bee,TRUE,
p0e2v2_t00_dynamic_programming_p00_explain,C1,P2_tstc_projcos4_tokens,1,12,12,700a4498438a,700a4498438a,TRUE,
p0e2v2_t00_dynamic_programming_p00_explain,C1,P3_SR_signradial_coords,1,12288,64,10f7a4a93b45,10f7a4a93b45,TRUE,score_equiv=True fn=2.036810e-03 manual=2.036810e-03
p0e2v2_t00_dynamic_programming_p00_explain,C1,P3_vs_P1_cross,1,12288,64,51dc04ad1487,10f7a4a93b45,FALSE,expected_mismatch
p0e2v2_t00_dynamic_programming_p00_explain,C2,P1_acct_scalar16,1,12288,16,7454f44e2bee,7454f44e2bee,TRUE,
p0e2v2_t00_dynamic_programming_p00_explain,C2,P1_acct_projcos4_tokens,1,12,12,700a4498438a,700a4498438a,TRUE,
p0e2v2_t00_dynamic_programming_p00_explain,C2,P2_tstc_scalar,1,12288,16,7454f44e2bee,7454f44e2bee,TRUE,
p0e2v2_t00_dynamic_programming_p00_explain,C2,P2_tstc_projcos4_tokens,1,12,12,700a4498438a,700a4498438a,TRUE,
p0e2v2_t00_dynamic_programming_p00_explain,C2,P3_SR_signradial_coords,1,12288,64,10f7a4a93b45,10f7a4a93b45,TRUE,score_equiv=True fn=2.659069e-03 manual=2.659069e-03
p0e2v2_t00_dynamic_programming_p00_explain,C2,P3_vs_P1_cross,1,12288,64,51dc04ad1487,10f7a4a93b45,FALSE,expected_mismatch
p0e2v2_t00_dynamic_programming_p00_explain,C3,P1_acct_scalar16,1,12288,16,7454f44e2bee,7454f44e2bee,TRUE,
p0e2v2_t00_dynamic_programming_p00_explain,C3,P1_acct_projcos4_tokens,1,12,12,700a4498438a,700a4498438a,TRUE,
p0e2v2_t00_dynamic_programming_p00_explain,C3,P2_tstc_scalar,1,12288,16,7454f44e2bee,7454f44e2bee,TRUE,
p0e2v2_t00_dynamic_programming_p00_explain,C3,P2_tstc_projcos4_tokens,1,12,12,700a4498438a,700a4498438a,TRUE,
p0e2v2_t00_dynamic_programming_p00_explain,C3,P3_SR_signradial_coords,1,12288,64,10f7a4a93b45,10f7a4a93b45,TRUE,score_equiv=True fn=6.760530e-03 manual=6.760530e-03
p0e2v2_t00_dynamic_programming_p00_explain,C3,P3_vs_P1_cross,1,12288,64,51dc04ad1487,10f7a4a93b45,FALSE,expected_mismatch
p0e2v2_t00_dynamic_programming_p01_summarize,C1,P1_acct_scalar16,1,13312,16,fc9dcd0f469b,fc9dcd0f469b,TRUE,
p0e2v2_t00_dynamic_programming_p01_summarize,C1,P1_acct_projcos4_tokens,1,13,13,2e67e70889ca,2e67e70889ca,TRUE,
p0e2v2_t00_dynamic_programming_p01_summarize,C1,P2_tstc_scalar,1,13312,16,fc9dcd0f469b,fc9dcd0f469b,TRUE,
p0e2v2_t00_dynamic_programming_p01_summarize,C1,P2_tstc_projcos4_tokens,1,13,13,2e67e70889ca,2e67e70889ca,TRUE,
p0e2v2_t00_dynamic_programming_p01_summarize,C1,P3_SR_signradial_coords,1,13312,64,8fcf280bbc85,8fcf280bbc85,TRUE,score_equiv=True fn=7.389000e-04 manual=7.389000e-04
p0e2v2_t00_dynamic_programming_p01_summarize,C1,P3_vs_P1_cross,1,13312,64,7e8d1063a4de,8fcf280bbc85,FALSE,expected_mismatch
p0e2v2_t00_dynamic_programming_p01_summarize,C2,P1_acct_scalar16,1,13312,16,fc9dcd0f469b,fc9dcd0f469b,TRUE,
p0e2v2_t00_dynamic_programming_p01_summarize,C2,P1_acct_projcos4_tokens,1,13,13,2e67e70889ca,2e67e70889ca,TRUE,
p0e2v2_t00_dynamic_programming_p01_summarize,C2,P2_tstc_scalar,1,13312,16,fc9dcd0f469b,fc9dcd0f469b,TRUE,
p0e2v2_t00_dynamic_programming_p01_summarize,C2,P2_tstc_projcos4_tokens,1,13,13,2e67e70889ca,2e67e70889ca,TRUE,
p0e2v2_t00_dynamic_programming_p01_summarize,C2,P3_SR_signradial_coords,1,13312,64,8fcf280bbc85,8fcf280bbc85,TRUE,score_equiv=True fn=1.746267e-03 manual=1.746267e-03
p0e2v2_t00_dynamic_programming_p01_summarize,C2,P3_vs_P1_cross,1,13312,64,7e8d1063a4de,8fcf280bbc85,FALSE,expected_mismatch
p0e2v2_t00_dynamic_programming_p01_summarize,C3,P1_acct_scalar16,1,13312,16,fc9dcd0f469b,fc9dcd0f469b,TRUE,
p0e2v2_t00_dynamic_programming_p01_summarize,C3,P1_acct_projcos4_tokens,1,13,13,2e67e70889ca,2e67e70889ca,TRUE,
p0e2v2_t00_dynamic_programming_p01_summarize,C3,P2_tstc_scalar,1,13312,16,fc9dcd0f469b,fc9dcd0f469b,TRUE,
p0e2v2_t00_dynamic_programming_p01_summarize,C3,P2_tstc_projcos4_tokens,1,13,13,2e67e70889ca,2e67e70889ca,TRUE,
p0e2v2_t00_dynamic_programming_p01_summarize,C3,P3_SR_signradial_coords,1,13312,64,8fcf280bbc85,8fcf280bbc85,TRUE,score_equiv=True fn=2.250784e-03 manual=2.250784e-03
p0e2v2_t00_dynamic_programming_p01_summarize,C3,P3_vs_P1_cross,1,13312,64,7e8d1063a4de,8fcf280bbc85,FALSE,expected_mismatch
p0e2v2_t00_dynamic_programming_p02_compare,C1,P1_acct_scalar16,1,10240,16,310f0cbaca57,310f0cbaca57,TRUE,
p0e2v2_t00_dynamic_programming_p02_compare,C1,P1_acct_projcos4_tokens,1,10,10,23c379d6c0f2,23c379d6c0f2,TRUE,
